english	sign
he was born in manipala in 1969	he born place m a n i p a l a 1 9 6 9
3 people are walking	3 people walk
how much amount	money what
he wants these shirts washed	he shirt like wash_clothes
tonight she is appearing on TV	she appear on TV tonight
for me these shoes are too big	these shoes big me
no house to live in they have	they house no stay
they made many expensive purchases	they big money purchase
they how long stay abroad	they how time aeroplane stay
does she want tea	she want tea or coffee
shall i help you	me help you
they wanted to do it for the last 29 years	they like work past 2 9 year
i cannot bear to look at her	me no look her
judo is my favorite game	j u d o me like game
444	4 4 4
from august till october	a tiewrist october between
you were born on 17 september 2013	you born 1 7 s blank s 2 0 1 3
can you lend me 100 rupees	what you me 1 0 0 money take
he will live here how long	how time future he stay here
what wrong did i do to you	what wrong
he was born in sriperumbudur	he born place s r i p e r u m b u d u r
mustafa died in 1997	m u s t a f a died 1 9 9 7
september	s blank s 
give me a pen please	please pen give_me
india is famous for cricket	india famous cricket
like it	like it
her mother worked in an office	mother work office
about music they are talking	they talk music
she turned 21 on this birthday	she birthday 2 1
talk less	talk little
1 people are walking	1 people walk
she can't bear the sight of it	she no look it
india is my country	india me country
199	1 9 9
going abroad would you like	you like go aeroplane
654	6 5 4
what your father work	you father doing
she drink our tea with sugar	she drink tea accompany sugar
13 people are walking	1 3 people walk
her i've never seen before	me no seen her past
the apple has begun to decay	apple rot
she visited a church and fell in love with it	me visited church and like
70 people are walking	7 0 people walk
all felt sorry for sasidhar	people know sorry s a s i d h a r
how many years she stay abroad	she how time aeroplane stay
she said she travelled in january 2015	she say she travel in january 2 0 1 5
34 people are walking	3 4 people walk
my brother died in 2010	me brother died 2 0 1 0
please call later me	please phone me later
sometime we will meet	we time some meet can
he turned 49 on this birthday	he birthday 4 9
i studied literature	she study literature
increasing is the population	population increase
wreslting is my favorite game	w r e s l t i n g me like game
he is not tired	he tired no
did you ever visit africa	you ever a f r i c a
she was born in karur	she born place k a r u r
i worked on the farm all day	me work farmland day
let's have lunch	lets_go eat
we got bored from his long speech	he long speech bored us
he shouldn't book tickets	he ticket bookv no
he was born on 27 november 1995	he born 2 7 n cracker 1 9 9 5
headache she give me	she me headache
this birds name is what	what name this bird
sometime we'll meet	we time some meet can
44	4 4
don't get excited	excite no
where you live	you stay where
their absence was because of illness	they ill absent
college	college
what kind of work will you do	what work you do
a leader who tells the truth because it is the easiest to remember i want	me want leader say truth because easy know
every morning he takes his dog on walk	he walk his dog every morning
he takes bath almost every day	he bath every_other_day
we want complete sentences	we like complete sentences
she was born on 18 april 1954	she born 1 8 a blank a 1 9 5 4
she have been ordered to shoot you	she order you shoot
the exciting novel	novel is big excite
today can we meet	we today meet can
he was born in manipala in 1969	he born place m a n i p a l a 1 9 6 9
she is glad to help you	she you help happy
they eats food at canteen	they eat there cafeteria
tomorrow she is going to meet him	she her meet tomorrow
i am going to america tomorrow	me tomorrow go a m e r i c a
he pulled his son's ear	he pull son ear
this house is owned by her	she own this house
his long speech was boring	he long speech bored us
i've never seen him before	me no seen him past
she had already done her work	she past complete her work
use the dustbin do not throw garbage please	please garbage no use dustbin
yesterday he come to see you	he come you look past
ram wants apples	r a m like apple
she was born on 25 december 1962	she born 2 5 d cold 1 9 6 2
money you have	you money have
at the nursing home he worked it was done successfully	he work local nurse where work good
easy to solve is this problem	this problem easy solve
it seems that he is truthful	he recognize he truth
flower is looking beautiful	flower beauty
complete sentences we want	we like complete sentences
55	5 5
stand up	up stand
to pack my suitcase she helped me	she help me suitcase pack
the dog all night kept barking	dog all night bark
why does he care about their affair	his me talk how concern
we meet later	we later me meet can
don't spend more than what you earn	money receive big spend no
1 people are walking	1 people walk
what you doing	you job what
how he understand this poem	he how interpret this poem
does anyone here speak hindi	here people tell h i n d i 
february october and december	f october and d cold
tea is widely grown in india	tea widely grow i n d i a
they went to her mother's office	go mother office
it seems that they are honest	they recognize they truth
he walks their dog every morning	he walk their dog every morning
give a pen to me please	please pen give_me
all felt sorry for her	people know sorry her
can i borrow money from you	what money you take
the country was abandoned	they abandon their country
you were born in july	you born j y
27	2 7
my grandfather passed away in 1979	me grandfather died 1 9 7 9
56 people are walking	5 6 people walk
469	4 6 9
the letter she forgot to mail	she forgot mail letter
you are ill	you sick
when he was 29 years old he died	he 2 9 died
scared	scared
you were born in march	you born m march
i was born in maharaj	me born place m a h a r a j
i taught for 2 years	me teacher 2 year
they went to kerala on thursday	they go k e r a l a thursday
parents were scared	father mother scared
june, july, august, september, october, november,	j rain j y a tiewrist s blank s october n cracker
in the early morning they stopped near a tree	early morning they close near poem
tomorrow she came see you	she come you look tomorrow
